algorithm_name,size,default
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,2.0
random_hill_climb,100,3.0
random_hill_climb,100,3.0
random_hill_climb,100,3.0
random_hill_climb,100,3.0
random_hill_climb,100,3.0
random_hill_climb,100,3.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,6.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
random_hill_climb,100,10.0
